iter	Logloss
0	0.583866831
1	0.5164147701
2	0.4673758715
3	0.4337740027
4	0.406513766
5	0.3886571423
6	0.3713969853
7	0.3582838431
8	0.3476011671
9	0.3404789663
10	0.3361566429
11	0.3313503412
12	0.3288646991
13	0.324412367
14	0.3218769673
15	0.3192492115
16	0.3179392399
17	0.3160419065
18	0.3146767041
19	0.3131942419
20	0.3123648268
21	0.3107044855
22	0.3093381671
23	0.3082669435
24	0.3071110665
25	0.3060379754
26	0.3043404392
27	0.3035340202
28	0.3021888315
29	0.3014425688
30	0.3002101318
31	0.2995536218
32	0.2987449773
33	0.2980948809
34	0.2973215612
35	0.2964562189
36	0.2957006815
37	0.294997058
38	0.2941561877
39	0.2939510306
40	0.2935694698
41	0.2924978984
42	0.2921804575
43	0.2918934773
44	0.2916478191
45	0.2912388188
46	0.2905851711
47	0.2902259316
48	0.2898844467
49	0.2889362091
