iter	Passed	Remaining
0	205	246291
1	303	182033
2	435	173720
3	578	173024
4	687	164290
5	813	161820
6	922	157158
7	1051	156624
8	1181	156380
9	1324	157566
10	1438	155477
11	1559	154386
12	1678	153272
13	1811	153501
14	1923	151932
15	2057	152239
16	2176	151447
17	2288	150281
18	2421	150506
19	2547	150277
20	2668	149803
21	2781	148960
22	2887	147744
23	2987	146391
24	3111	146259
25	3236	146139
26	3338	145017
27	3471	145302
28	3567	144060
29	3674	143309
30	3811	143737
31	3918	143033
32	4048	143166
33	4185	143542
34	4309	143450
35	4442	143629
36	4563	143440
37	4671	142853
38	4789	142582
39	4925	142845
40	5030	142205
41	5170	142559
42	5283	142150
43	5398	141837
44	5511	141462
45	5645	141627
46	5760	141319
47	5870	140895
48	5978	140424
49	6109	140523
50	6239	140570
51	6349	140177
52	6482	140285
53	6616	140423
54	6757	140675
55	6865	140260
56	6987	140116
57	7104	139877
58	7244	140097
59	7376	140156
60	7496	139966
61	7608	139660
62	7720	139332
63	7865	139616
64	8010	139874
65	8148	140013
66	8275	139944
67	8409	140001
68	8523	139706
69	8636	139423
70	8740	138980
71	8874	139029
72	8981	138661
73	9114	138690
74	9233	138501
75	9378	138704
76	9491	138422
77	9613	138287
78	9748	138324
79	9864	138106
80	9978	137848
81	10123	138018
82	10257	138041
83	10369	137761
84	10492	137640
85	10614	137493
86	10720	137143
87	10824	136785
88	10930	136450
89	11018	135900
90	11110	135405
91	11213	135044
92	11323	134781
93	11433	134529
94	11529	134105
95	11614	133569
96	11713	133196
97	11815	132864
98	11906	132418
99	12004	132047
100	12102	131687
101	12214	131490
102	12312	131138
103	12416	130851
104	12521	130585
105	12622	130278
106	12706	129795
107	12807	129499
108	12893	129049
109	13024	129063
110	13113	128655
111	13261	128825
112	13383	128744
113	13508	128690
114	13618	128489
115	13724	128256
116	13815	127884
117	13943	127854
118	14043	127568
119	14155	127395
120	14250	127077
121	14367	126955
122	14473	126731
123	14613	126808
124	14738	126752
125	14838	126481
126	14966	126452
127	15076	126265
128	15196	126165
129	15311	126024
130	15424	125871
131	15525	125615
132	15660	125638
133	15774	125489
134	15880	125277
135	15998	125168
136	16120	125079
137	16241	124988
138	16346	124772
139	16471	124716
140	16595	124643
141	16736	124699
142	16861	124635
143	16972	124467
144	17121	124572
145	17237	124437
146	17333	124162
147	17443	123993
148	17586	124047
149	17682	123779
150	17824	123829
151	17962	123845
152	18100	123866
153	18215	123722
154	18336	123620
155	18430	123345
156	18540	123171
157	18675	123164
158	18800	123091
159	18908	122905
160	19046	122914
161	19182	122910
162	19319	122908
163	19455	122902
164	19584	122848
165	19688	122638
166	19833	122681
167	19937	122474
168	20028	122186
169	20144	122054
170	20248	121845
171	20381	121816
172	20501	121704
173	20629	121645
174	20748	121529
175	20857	121354
176	20975	121232
177	21099	121144
178	21211	120986
179	21327	120858
180	21472	120886
181	21595	120793
182	21706	120629
183	21844	120618
184	21972	120550
185	22071	120323
186	22205	120291
187	22327	120190
188	22473	120216
189	22623	120261
190	22758	120224
191	22883	120139
192	23018	120103
193	23158	120090
194	23284	120005
195	23394	119836
196	23511	119707
197	23616	119516
198	23710	119267
199	23807	119039
200	23923	118901
201	24062	118883
202	24179	118754
203	24328	118781
204	24451	118678
205	24564	118530
206	24690	118440
207	24825	118398
208	24951	118309
209	25085	118258
210	25249	118349
211	25359	118183
212	25494	118136
213	25636	118119
214	25779	118105
215	25906	118016
216	26021	117875
217	26160	117841
218	26293	117782
219	26408	117637
220	26532	117536
221	26645	117384
222	26773	117298
223	26919	117290
224	27055	117238
225	27190	117184
226	27291	116978
227	27431	116946
228	27550	116817
229	27658	116646
230	27788	116565
231	27919	116492
232	28070	116496
233	28196	116402
234	28322	116301
235	28473	116308
236	28586	116154
237	28717	116077
238	28840	115966
239	28983	115932
240	29090	115760
241	29227	115701
242	29321	115477
243	29451	115391
244	29569	115262
245	29680	115102
246	29806	115003
247	29912	114826
248	30022	114662
249	30152	114580
250	30294	114538
251	30435	114494
252	30559	114388
253	30680	114266
254	30811	114184
255	30920	114018
256	31059	113964
257	31172	113815
258	31312	113765
259	31450	113705
260	31595	113671
261	31708	113522
262	31843	113450
263	32008	113486
264	32127	113355
265	32253	113250
266	32371	113118
267	32504	113038
268	32649	112999
269	32804	112991
270	32918	112845
271	33056	112780
272	33172	112640
273	33290	112505
274	33409	112378
275	33559	112352
276	33680	112228
277	33816	112152
278	33947	112063
279	34061	111916
280	34187	111808
281	34325	111739
282	34466	111681
283	34605	111614
284	34750	111568
285	34871	111441
286	35002	111350
287	35111	111185
288	35255	111133
289	35361	110962
290	35503	110901
291	35620	110764
292	35747	110659
293	35873	110550
294	36012	110480
295	36154	110419
296	36262	110253
297	36401	110182
298	36542	110115
299	36642	109926
300	36789	109879
301	36930	109812
302	37060	109714
303	37212	109679
304	37368	109654
305	37493	109540
306	37641	109491
307	37764	109369
308	37888	109250
309	38002	109103
310	38133	109005
311	38267	108914
312	38407	108843
313	38543	108757
314	38684	108685
315	38815	108585
316	38928	108435
317	39065	108351
318	39186	108223
319	39317	108124
320	39461	108059
321	39599	107976
